,epic,expiry,name,forceOpenAllowed,stopsLimitsAllowed,lotSize,unit,type,controlledRiskAllowed,streamingPricesAvailable,marketId,currencies,sprintMarketsMinimumExpiryTime,sprintMarketsMaximumExpiryTime,marginDepositBands,marginFactor,marginFactorUnit,slippageFactor,limitedRiskPremium,openingHours,expiryDetails,rolloverDetails,newsCode,chartCode,country,valueOfOnePip,onePipMeans,contractSize,specialInfo,minStepDistance,minDealSize,minControlledRiskStopDistance,minNormalStopOrLimitDistance,maxStopOrLimitDistance,marketOrderPreference,trailingStopsPreference,marketStatus,netChange,percentageChange,updateTime,delayTime,bid,offer,high,low,binaryOdds,decimalPlacesFactor,scalingFactor,controlledRiskExtraSpread,file_name,spread,average,diff_high-low,percent_spread-hl
0,ED.D.DRIGY.DAILY.IP,DFB,1&1 Drillisch AG,True,True,1.0,AMOUNT,SHARES,True,False,DRI-DE,"[{'code': 'EUR', 'symbol': 'E', 'baseExchangeRate': 1.156455, 'exchangeRate': 0.9, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 40, 'margin': 20, 'currency': 'EUR'}, {'min': 40, 'max': 260, 'margin': 20, 'currency': 'EUR'}, {'min': 260, 'max': 800, 'margin': 45, 'currency': 'EUR'}, {'min': 800, 'max': None, 'margin': 75, 'currency': 'EUR'}]",20,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '08:00', 'closeTime': '16:30'}]}","{'lastDealingDate': '2029-04-06T15:30', 'settlementInfo': 'DFBs settle on the Last Dealing Day at the closing market bid/offer price of the share, plus or minus half the IG spread. '}",,DRIG.DE,DRI,DE,,,,"['DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'POINTS', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,6.0,0.23,13:57:04,0,2346.0,2359.0,2381.0,2328.0,,2,1,23.53,1&1 Drillisch AG_5Min_ID_ED.D.DRIGY.DAILY.IP_ID_.csv,16.0,2107.0,297.0,5.387205387205387
1,UB.D.FLWSUS.DAILY.IP,DFB,1-800-Flowers.com Inc,True,True,1.0,AMOUNT,SHARES,True,False,FLWS-US,"[{'code': 'USD', 'symbol': '$', 'baseExchangeRate': 1.3976655, 'exchangeRate': 0.66, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 90, 'margin': 20, 'currency': 'USD'}, {'min': 90, 'max': 585, 'margin': 25.05, 'currency': 'USD'}, {'min': 585, 'max': 1800, 'margin': 55.05, 'currency': 'USD'}, {'min': 1800, 'max': None, 'margin': 75, 'currency': 'USD'}]",20,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '14:30', 'closeTime': '21:00'}]}","{'lastDealingDate': '2029-04-06T20:00', 'settlementInfo': 'DFBs settle on the Last Dealing Day at the closing market bid/offer price of the share, plus or minus half the IG spread. '}",,FLWS.O,FLWS,US,,,,"['Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 10.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,EDITS_ONLY,0.0,0.0,20:59:55,0,3124.0,3124.0,,,,2,1,0.0,1-800-Flowers.com Inc_5Min_ID_UB.D.FLWSUS.DAILY.IP_ID_.csv,27.0,2231.5,1729.0,1.5615962984384038
2,UD.D.TXGUS.DAILY.IP,DFB,10x Genomics Inc,True,True,1.0,AMOUNT,SHARES,True,False,TXG-US,"[{'code': 'USD', 'symbol': '$', 'baseExchangeRate': 1.3976655, 'exchangeRate': 0.66, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 122, 'margin': 25, 'currency': 'USD'}, {'min': 122, 'max': 671, 'margin': 40, 'currency': 'USD'}, {'min': 671, 'max': 2440, 'margin': 60, 'currency': 'USD'}, {'min': 2440, 'max': None, 'margin': 75, 'currency': 'USD'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '14:30', 'closeTime': '21:00'}]}","{'lastDealingDate': '2029-04-06T20:00', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,TXG.O,TXG,US,,,,"['Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 10.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,EDITS_ONLY,0.0,0.0,20:59:59,0,18755.0,18755.0,,,,2,1,0.0,10x Genomics Inc_5Min_ID_UD.D.TXGUS.DAILY.IP_ID_.csv,84.0,14339.0,5367.0,1.5651201788708775
3,UD.D.YIUS.DAILY.IP,DFB,111 Inc,True,True,1.0,AMOUNT,SHARES,True,False,YI-US,"[{'code': 'USD', 'symbol': '$', 'baseExchangeRate': 1.397673, 'exchangeRate': 0.66, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 10, 'margin': 25, 'currency': 'USD'}, {'min': 10, 'max': 60, 'margin': 40, 'currency': 'USD'}, {'min': 60, 'max': 1250, 'margin': 75, 'currency': 'USD'}, {'min': 1250, 'max': None, 'margin': 75, 'currency': 'USD'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '14:30', 'closeTime': '21:00'}]}","{'lastDealingDate': '2029-04-06T20:00', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,YI.O,YI,US,,,,"['DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE', 'No Controlled Risk']","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 10.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,EDITS_ONLY,0.0,0.0,20:59:59,0,2323.0,2323.0,,,,2,1,0.0,111 Inc_5Min_ID_UD.D.YIUS.DAILY.IP_ID_.csv,15.0,686.5,1276.2,1.1753643629525152
4,ED.D.TGTGY.DAILY.IP,DFB,11880 Solution SA,True,True,1.0,AMOUNT,SHARES,True,False,TGT-DE,"[{'code': 'EUR', 'symbol': 'E', 'baseExchangeRate': 1.15646, 'exchangeRate': 0.9, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 66, 'margin': 25, 'currency': 'EUR'}, {'min': 66, 'max': 231, 'margin': 40, 'currency': 'EUR'}, {'min': 231, 'max': 264, 'margin': 60, 'currency': 'EUR'}, {'min': 264, 'max': None, 'margin': 75, 'currency': 'EUR'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '08:00', 'closeTime': '16:30'}]}","{'lastDealingDate': '2029-04-06T15:30', 'settlementInfo': 'DFBs settle on the Last Dealing Day at the closing market bid/offer price of the share, plus or minus half the IG spread. '}",,TGTG.DE,TGT,DE,,,,"['Closing Only', 'Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'POINTS', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,-0.49,-0.31,12:17:06,0,152.62,160.4,160.4,152.62,,2,1,1.0955,11880 Solution SA_5Min_ID_ED.D.TGTGY.DAILY.IP_ID_.csv,,,25.930000000000007,
5,UD.D.TURNUS.DAILY.IP,DFB,180 Degree Capital Corporation,True,True,1.0,AMOUNT,SHARES,True,False,TURN-US,"[{'code': 'USD', 'symbol': '$', 'baseExchangeRate': 1.397671, 'exchangeRate': 0.66, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 59, 'margin': 25, 'currency': 'USD'}, {'min': 59, 'max': 206.5, 'margin': 40, 'currency': 'USD'}, {'min': 206.5, 'max': 295, 'margin': 60, 'currency': 'USD'}, {'min': 295, 'max': None, 'margin': 75, 'currency': 'USD'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '14:30', 'closeTime': '21:00'}]}","{'lastDealingDate': '2029-04-06T20:00', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,TURN.O,TURN,US,,,,"['Closing Only', 'Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 10.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,CLOSED,-42.0,-5.93,20:59:59,0,666.0,666.0,,,,1,1,0.0,180 Degree Capital Corporation_5Min_ID_UD.D.TURNUS.DAILY.IP_ID_.csv,6.0,203.0,78.0,7.6923076923076925
6,UC.D.ONEMUS.DAILY.IP,DFB,1Life Healthcare Inc,True,True,1.0,AMOUNT,SHARES,True,False,ONEM-US,"[{'code': 'USD', 'symbol': '$', 'baseExchangeRate': 1.397669, 'exchangeRate': 0.66, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 10, 'margin': 20, 'currency': 'USD'}, {'min': 10, 'max': 60, 'margin': 32, 'currency': 'USD'}, {'min': 60, 'max': 200, 'margin': 48, 'currency': 'USD'}, {'min': 200, 'max': None, 'margin': 60, 'currency': 'USD'}]",20,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '14:30', 'closeTime': '21:00'}]}","{'lastDealingDate': '2029-04-06T20:00', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,ONEM.O,ONEM,US,,,,"['Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE', 'No Controlled Risk']","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 10.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,EDITS_ONLY,0.0,0.0,20:59:58,0,5525.0,5525.0,,,,2,1,0.0,1Life Healthcare Inc_5Min_ID_UC.D.ONEMUS.DAILY.IP_ID_.csv,50.0,3720.0,2164.0,2.310536044362292
7,AR.D.ETFPLDSJ.DAILY.IP,DFB,1nvest Palladium ETF,True,True,1.0,AMOUNT,SHARES,True,False,ETFPLD-ZA,"[{'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}, {'code': 'ZAR', 'symbol': 'SR', 'baseExchangeRate': 20.343716, 'exchangeRate': 0.067, 'isDefault': False}]",,,"[{'min': 0, 'max': 5, 'margin': 20, 'currency': 'ZAR'}, {'min': 5, 'max': 30, 'margin': 20, 'currency': 'ZAR'}, {'min': 30, 'max': 50, 'margin': 45, 'currency': 'ZAR'}, {'min': 50, 'max': None, 'margin': 75, 'currency': 'ZAR'}]",20,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '07:00', 'closeTime': '14:50'}]}","{'lastDealingDate': '2029-04-06T14:50', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,ETFPLDJ.J,ETFPLDJ,ZA,,,,"['DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE', 'No Controlled Risk']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'PERCENTAGE', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,-330.0,-0.97,13:57:35,0,33357.0,33794.0,34278.0,33444.0,,2,1,335.76,1nvest Palladium ETF_5Min_ID_AR.D.ETFPLDSJ.DAILY.IP_ID_.csv,720.0,33357.0,4510.0,15.96452328159645
8,AR.D.ETFPLTSJ.DAILY.IP,DFB,1nvest Platinum ETF,True,True,1.0,AMOUNT,SHARES,True,False,ETFPLT-ZA,"[{'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}, {'code': 'ZAR', 'symbol': 'SR', 'baseExchangeRate': 20.343716, 'exchangeRate': 0.067, 'isDefault': False}]",,,"[{'min': 0, 'max': 50, 'margin': 20, 'currency': 'ZAR'}, {'min': 50, 'max': 300, 'margin': 30, 'currency': 'ZAR'}, {'min': 300, 'max': 500, 'margin': 50, 'currency': 'ZAR'}, {'min': 500, 'max': None, 'margin': 75, 'currency': 'ZAR'}]",20,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '07:00', 'closeTime': '14:50'}]}","{'lastDealingDate': '2029-04-06T14:50', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,ETFPLTJ.J,ETFPLTJ,ZA,,,,"['DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE', 'No Controlled Risk']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'PERCENTAGE', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,-3.0,-0.02,13:57:29,0,17897.0,18110.0,18302.0,17955.0,,2,1,180.04,1nvest Platinum ETF_5Min_ID_AR.D.ETFPLTSJ.DAILY.IP_ID_.csv,277.0,14714.5,17060.0,1.6236811254396248
9,AR.D.ETFRHOSJ.DAILY.IP,DFB,1nvest Rhodium ETF,True,True,1.0,AMOUNT,SHARES,True,False,ETFRHO-ZA,"[{'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}, {'code': 'ZAR', 'symbol': 'SR', 'baseExchangeRate': 20.343716, 'exchangeRate': 0.067, 'isDefault': False}]",,,"[{'min': 0, 'max': 10, 'margin': 25, 'currency': 'ZAR'}, {'min': 10, 'max': 60, 'margin': 40, 'currency': 'ZAR'}, {'min': 60, 'max': 100, 'margin': 75, 'currency': 'ZAR'}, {'min': 100, 'max': None, 'margin': 75, 'currency': 'ZAR'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '07:00', 'closeTime': '14:50'}]}","{'lastDealingDate': '2029-04-06T14:50', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,ETFRHOJ.J,ETFRHOJ,ZA,,,,"['Closing Only', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'PERCENTAGE', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,-5817.0,-1.81,13:41:31,0,311426.0,320689.0,325825.0,309393.0,,2,1,3160.48,1nvest Rhodium ETF_5Min_ID_AR.D.ETFRHOSJ.DAILY.IP_ID_.csv,3370.0,231110.0,175533.0,1.9198669196105573
10,AR.D.ETF5ITSJ.DAILY.IP,DFB,1nvest S&P500 Info Tech Index Feeder ETF,True,True,1.0,AMOUNT,SHARES,True,False,ETF5IT-ZA,"[{'code': 'ZAR', 'symbol': 'SR', 'baseExchangeRate': 20.343716, 'exchangeRate': 0.067, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 3535, 'margin': 25, 'currency': 'ZAR'}, {'min': 3535, 'max': 21210, 'margin': 40, 'currency': 'ZAR'}, {'min': 21210, 'max': 35350, 'margin': 75, 'currency': 'ZAR'}, {'min': 35350, 'max': None, 'margin': 75, 'currency': 'ZAR'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '07:00', 'closeTime': '14:50'}]}","{'lastDealingDate': '2029-04-06T14:50', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,ETF5ITJ.J,ETF5ITJ,ZA,,,,"['Closing Only', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'PERCENTAGE', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,-24.0,-1.9,13:55:14,0,1232.9,1241.1,1290.2,1231.9,,1,1,12.37,1nvest S&P500 Info Tech Index Feeder ETF_5Min_ID_AR.D.ETF5ITSJ.DAILY.IP_ID_.csv,,,172.5999999999999,
11,AR.D.ETFSWXSJ.DAILY.IP,DFB,1nvest SWIX 40 ETF,True,True,1.0,AMOUNT,SHARES,True,False,ETFSWX-ZA,"[{'code': 'ZAR', 'symbol': 'SR', 'baseExchangeRate': 20.343716, 'exchangeRate': 0.067, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 300, 'margin': 25, 'currency': 'ZAR'}, {'min': 300, 'max': 1800, 'margin': 40, 'currency': 'ZAR'}, {'min': 1800, 'max': 3000, 'margin': 75, 'currency': 'ZAR'}, {'min': 3000, 'max': None, 'margin': 75, 'currency': 'ZAR'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '07:00', 'closeTime': '14:50'}]}","{'lastDealingDate': '2029-04-06T14:50', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,ETFSWXJ.J,ETFSWXJ,ZA,,,,"['DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE', 'No Controlled Risk']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'PERCENTAGE', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 75.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,-3.9,-0.31,13:54:59,0,1246.9,1263.2,1263.2,1252.9,,1,1,12.55,1nvest SWIX 40 ETF_5Min_ID_AR.D.ETFSWXSJ.DAILY.IP_ID_.csv,15.599999999999909,1113.0,172.5,9.043478260869513
12,KC.D.OPMLN.DAILY.IP,DFB,Time Finance Plc,True,True,1.0,AMOUNT,SHARES,True,False,OPM-UK,"[{'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 339, 'margin': 25, 'currency': 'GBP'}, {'min': 339, 'max': 678, 'margin': 40, 'currency': 'GBP'}, {'min': 678, 'max': 1017, 'margin': 60, 'currency': 'GBP'}, {'min': 1017, 'max': None, 'margin': 75, 'currency': 'GBP'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 3, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '08:00', 'closeTime': '16:30'}]}","{'lastDealingDate': '2029-04-06T15:30', 'settlementInfo': 'DFBs settle on the Last Dealing Day at the closing market bid/offer price of the share, plus or minus half the IG spread. '}",,OPM.L,OPM,GB,,,,"['Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'POINTS', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,0.001,0.0,08:00:00,0,21.913,22.689,22.579,21.923,,3,1,0.0,1pm PLC_5Min_ID_KC.D.OPMLN.DAILY.IP_ID_.csv,0.16799999999999926,24.0,5.234000000000002,3.2097821933511503
13,KC.D.ZGP.DAILY.IP,DFB,1Spatial PLC,True,True,1.0,AMOUNT,SHARES,True,False,ZGP-UK,"[{'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 294, 'margin': 25, 'currency': 'GBP'}, {'min': 294, 'max': 588, 'margin': 40, 'currency': 'GBP'}, {'min': 588, 'max': 882, 'margin': 60, 'currency': 'GBP'}, {'min': 882, 'max': None, 'margin': 75, 'currency': 'GBP'}]",25,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 3, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '08:00', 'closeTime': '16:30'}]}","{'lastDealingDate': '2029-04-06T15:30', 'settlementInfo': 'DFBs settle on the Last Dealing Day at the closing market bid/offer price of the share, plus or minus half the IG spread. '}",,SPA.L,SPA,GB,,,,"['Closing Only', 'Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'PERCENTAGE', 'value': 1.0}","{'unit': 'POINTS', 'value': 0.5}","{'unit': 'PERCENTAGE', 'value': 12.5}","{'unit': 'POINTS', 'value': 0.1}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,TRADEABLE,1.5,5.1,09:05:17,0,29.68,32.13,33.12,28.9,,2,1,0.0,1Spatial PLC_5Min_ID_KC.D.ZGP.DAILY.IP_ID_.csv,2.1900000000000013,28.005000000000003,2.9899999999999984,73.24414715719072
14,UB.D.FCCYUS.DAILY.IP,DFB,1st Constitution Ban Corporation,True,True,1.0,AMOUNT,SHARES,True,False,FCCY-US,"[{'code': 'USD', 'symbol': '$', 'baseExchangeRate': 1.397668, 'exchangeRate': 0.66, 'isDefault': False}, {'code': 'GBP', 'symbol': '£', 'baseExchangeRate': 1.0, 'exchangeRate': 1.0, 'isDefault': True}]",,,"[{'min': 0, 'max': 10, 'margin': 50, 'currency': 'USD'}, {'min': 10, 'max': 30, 'margin': 50, 'currency': 'USD'}, {'min': 30, 'max': 50, 'margin': 60, 'currency': 'USD'}, {'min': 50, 'max': None, 'margin': 75, 'currency': 'USD'}]",50,PERCENTAGE,"{'unit': 'pct', 'value': 100.0}","{'value': 1, 'unit': 'PERCENTAGE'}","{'marketTimes': [{'openTime': '14:30', 'closeTime': '21:00'}]}","{'lastDealingDate': '2029-04-06T20:00', 'settlementInfo': 'The last dealing day is the Tuesday before the third Wednesday of the contract month. Expired bets will settle basis the closing bid or offer price of the relevant exchange as reported by Bloomberg, plus or minus closing IG spread.'}",,FCCY.O,FCCY,US,,,,"['Closing Only', 'Unborrowable', 'DEFAULT KNOCK OUT LEVEL DISTANCE', 'MAX KNOCK OUT LEVEL DISTANCE']","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 10.0}","{'unit': 'POINTS', 'value': 1.0}","{'unit': 'PERCENTAGE', 'value': 90.0}",AVAILABLE_DEFAULT_OFF,AVAILABLE,EDITS_ONLY,0.0,0.0,20:59:54,0,1738.0,1738.0,,,,2,1,0.0,1st Constitution Ban Corporation_5Min_ID_UB.D.FCCYUS.DAILY.IP_ID_.csv,106.0,1799.0,395.0,26.83544303797468
